disease,fever,cough,headache,fatigue,nausea,sore_throat,chest_pain,shortness_breath
Flu,1,1,1,1,0,0,0,0
Flu,1,1,1,1,0,1,0,0
Flu,1,1,1,1,0,0,0,0
Flu,1,1,0,1,0,1,0,0
Flu,1,1,1,0,0,0,0,0
Flu,1,1,1,1,1,0,0,0
Malaria,1,0,1,1,1,0,0,0
Malaria,1,0,1,1,1,0,0,0
Malaria,1,0,0,1,1,0,0,0
Malaria,1,0,1,1,0,0,0,0
Malaria,1,0,1,0,1,0,0,0
Malaria,1,0,1,1,1,0,0,0
Cold,0,1,1,0,0,1,0,0
Cold,0,1,1,1,0,1,0,0
Cold,0,1,0,0,0,1,0,0
Cold,0,1,1,0,0,1,0,0
Cold,0,1,1,1,0,0,0,0
Cold,0,1,0,1,0,1,0,0
Diabetes,0,0,1,1,1,0,0,0
Diabetes,0,0,0,1,1,0,0,0
Diabetes,0,0,1,1,0,0,0,0
Diabetes,0,0,1,1,1,0,0,0
Diabetes,0,0,0,1,1,0,0,0
Diabetes,0,0,1,1,1,0,0,0
Cancer,0,1,1,1,1,0,0,0
Cancer,0,0,1,1,1,0,1,0
Cancer,0,1,1,1,1,0,0,1
Cancer,0,0,1,1,1,0,1,1
Cancer,0,1,1,1,1,0,0,0
Cancer,0,0,1,1,1,0,1,0
Pneumonia,1,1,1,1,0,0,1,1
Pneumonia,1,1,0,1,0,0,1,1
Pneumonia,1,1,1,1,0,0,1,1
Pneumonia,1,1,0,1,0,0,1,1
Pneumonia,1,1,1,1,0,0,0,1
Pneumonia,1,1,1,1,0,0,1,1
Heart_Disease,0,0,0,1,0,0,1,1
Heart_Disease,0,0,0,1,1,0,1,1
Heart_Disease,0,0,0,1,0,0,1,1
Heart_Disease,0,0,0,1,0,0,1,1
Heart_Disease,0,0,0,1,1,0,1,1
Heart_Disease,0,0,0,1,0,0,1,1
